,,,C1数据可得性,C2模型复杂度,C3成果惊艳度,C4课程贴合度,C5时间可⾏性
,P24,基于关键路径法（CPM）的学生期末备考计划制定,0.263,0.150,0.083,0.100,0.075
,P25,北大文创商店产品定价与库存管理的收益优化模型,0.175,0.200,0.167,0.067,0.050
,P26,基于决策分析的北大毕业生出国留学择校辅助模型,0.088,0.150,0.167,0.000,0.025
,P27,基于Dijkstra算法的北大地图,0.263,0.150,0.167,0.100,0.075
,P28,运筹重走西游路,0.263,0.100,0.250,0.033,0.050
,P29,运筹学优化在旅游公司的优化,0.175,0.200,0.167,0.033,0.050
,P30,基于AHP + TOPSIS混合模型的运筹学作业选题决策优化,0.350,0.150,0.167,0.100,0.100
,,,,,,,
最优解A+,,,0.35,0.2,0.25,0.1,0.1
最劣解A-,,,0,0,0,0,0
,,,,,,,
计算欧式距离,,,A+的欧式距离,A-的欧式距离,相对接近度,排名,
,P1,北大校园内共享单车调度与重新平衡策略优化,0.3225,0.2204,0.4060,28,
,P2,地铁线路时刻表优化,0.2240,0.3793,0.6288,11,
,P3,多模式交通换乘优化,0.2942,0.2252,0.4336,26,
,P4,"电动汽车充电站选址与容量规划
",0.1646,0.3452,0.6771,8,
,P5,基于重心法的北大校内快递中心选址优化,0.1003,0.4341,0.8122,2,
,P6,无人机物流网络设计,0.1696,0.3819,0.6925,5,
,P7,冷链物流温度控制优化,0.2762,0.3136,0.5317,19,
,P8,跨境电商仓储布局优化,0.3768,0.2455,0.3945,29,
,P9,逆向物流回收网络设计,0.2540,0.2589,0.5048,23,
,P10,医院挂号与分诊系统优化,0.2721,0.2412,0.4700,24,
,P11,超市货架布局与补货策略,0.3808,0.1568,0.2917,30,
,P12,社区垃圾分类回收路径优化,0.2518,0.2694,0.5169,21,
,P13,共享厨房设备调度,0.2260,0.3106,0.5789,17,
,P14,信用卡额度动态分配,0.1863,0.4038,0.6842,7,
,P15,电商促销活动组合优化,0.1789,0.4025,0.6923,6,
,P16,个人理财投资组合优化,0.2635,0.3951,0.5999,16,
,P17,家庭能源管理优化,0.2862,0.2983,0.5104,22,
,P18,城市空气质量干预策略,0.2447,0.3173,0.5646,18,
,P19,基于动态规划的北大同学学分选修与课程安排优化方案,0.2038,0.3245,0.6142,13,
,P20,基于最短路算法的北大校园最优游览路径规划,0.2038,0.3245,0.6142,0,
,P21,基于整数规划的教学楼自习室座位资源优化分配研究,0.2762,0.3136,0.5317,19,
,P22,基于0-1规划的北大社团活动时间冲突与选择优化,0.3250,0.2305,0.4149,27,
,P23,基于网络流的北大校内电动摆渡车路线规划,0.1960,0.3938,0.6677,9,
,P24,基于关键路径法（CPM）的学生期末备考计划制定,0.1964,0.3376,0.6323,10,
,P25,北大文创商店产品定价与库存管理的收益优化模型,0.2029,0.3246,0.6153,12,
,P26,基于决策分析的北大毕业生出国留学择校辅助模型,0.3066,0.2420,0.4411,25,
,P27,基于Dijkstra算法的北大地图,0.1331,0.3672,0.7339,3,
,P28,运筹重走西游路,0.1568,0.3808,0.7083,4,
,P29,运筹学优化在旅游公司的优化,0.2110,0.3194,0.6022,15,
,P30,基于AHP + TOPSIS混合模型的运筹学作业选题决策优化,0.0972,0.4391,0.8188,1,
